user,follows,followed
surfer_magazine,552490,554
reneeyoungwwe,257641,499
bigdaddyjaz,1382,4591
badrabbits,13380,1595
austinhotmahone,5414,7005
jordanroriepayton,106,91000
fakelimanpayne,126,26125
dylanespinosa,785,68424
lukedavisthegrey,83491,666
selfmaderyan,239186,11
flashbackintime,28,63331
sergioromo54,142164,122
charlottegshore,2526016,520
neima_pinkdolphin,130,1322
mathurtado,26514,668
bajancanadian,93,651132
demetakalin,1782239,307
ilaughedatthat,237436,124
cescf4bregas,147,2818823
beaupeterbrooks,3871,769862
donialuvsu,256153,641
inkvaders,456,16930
phamflexx,66159,186
jessewelle,1070449,128
jokuk,925,5284
breezenyc66,7478,49342
invisiblebully_,59150,157
volcomskate,181254,306
awesomehogan,746,8797
shopwilddaisy,1,131290
dustingrice,3886,6511
mexicangueys,141,299325
f3licitetomlinson,3928,693056
timothyboor,48032,1027
jerkstiel,629,34580
johnnyklinger,6724,522
djmustard,398421,970
houstontexans,349593,92
ahsfreak,116031,42
in_spiration,24120,37
tanishalong,1038,105766
mariamenounos,365104,147
nouistbh,4050,71
perksofbeingachickenugget,224,64737
wwefandango,124387,105
dylanwerneryoga,105406,291
ultimate.health,71,122557
ig_weightloss,23,2094481
soccerdotcom,341,1026732
punkdirectiion,72525,5
thecw,222247,100
sergiosanchezart,46656,533
elounor,126,8299
maxjr617,153,265581
besttext,0,14361
chrisjerichofozzy,443061,188
cindyprado,180121,537
disney,1316704,14
hydracup,63767,350
exclusivegame,65482,513
namelessgem,389,1974089
msdeniise,163,20462
heat_herm,209,12639
anacheri,1812056,846
realbarbarapalvin,2182173,128
jmanziel2,1398620,699
fiendbassy,30404,488
djkidfamous,9052,157
judahsmith,272,161982
fitgirlsworldwide,0,1742293
zacharayy,137,49169
nemoe_tattoos,428,4465
justjared,105474,601
mizzhogan,98203,195
bom_rabbits,65,216764
dwarfguru,40048,776
davidhenrie,767622,166
kyra_skelton,862,645
lucascruikshank,325986,252
instalikesapp_,29,85660
dylan_dyamond,5,2165
ice_marrow,22283,988
footaction,167633,181
theteavogue,7612,195
gabrielleaplin,73316,162
roujannn,101,14111
harrysmileforme,470346,170
